price (high season),Name,Location
60,Chäserrugg – Unterwasser/​Alt St. Johann (Toggenburg),Switzerland
54,Plose – Brixen (Bressanone),Italy
57,Las Leñas,Argentina
59,Gitschberg Jochtal,Italy
53.5,Sulden am Ortler (Solda all'Ortles),Italy
68,Großarltal/​Dorfgastein,Austria
55,Belpiano (Schöneben)/​Malga San Valentino (Haideralm),Italy
59,Belvedere/​Col Rodella/​Ciampac/​Buffaure – Canazei/​Campitello/​Alba/​Pozza di Fassa,Italy
30.3,Abriès,France
53,San Martino di Castrozza,Italy
70,Villars/​Gryon/​Les Diablerets,Switzerland
15,Tufandağ,Azerbaijan
4,Çambaşı,Turkey
123.12,Panorama,Canada
49,Valchiavenna – Madesimo/​Campodolcino,Italy
61,Courmayeur – Chécrouit/​Val Veny,Italy
47,Les Houches/​Saint-Gervais – Prarion/​Bellevue (Chamonix),France
83.07,Silver Star,Canada
50,Garmisch-Classic – Garmisch-Partenkirchen,Germany
44,Arolla,Switzerland
56,Speikboden – Skiworld Ahrntal,Italy
58,Kimberley,Canada
23.4,Le Collet d'Allevard,France
69,First – Grindelwald,Switzerland
41.5,Les Angles,France
23.5,Pelvoux/​Vallouise,France
55,Hinterstoder – Höss,Austria
38,Gourette (Eaux Bonnes),France
49.5,Diedamskopf – Schoppernau,Austria
19,Artouste,France
51,Val Senales Glacier (Schnalstaler Gletscher),Italy
38,Appi Kogen,Japan
58,Leysin,Switzerland
48,Tauplitz – Bad Mitterndorf,Austria
43,Mariborsko Pohorje – Maribor,Slovenia
59,Hohsaas – Saas-Grund,Switzerland
49.5,Almenwelt Lofer,Austria
38,Nara – Leontica,Switzerland
18,Argentera,Italy
37,Bukovel,Ukraine
19,Big Wood,Northwest Russia
259,Park City,USA
49,Folgaria/​Fiorentini,Italy
23,Crissolo – Monviso,Italy
88,Castle Mountain,Canada
24,Foppolo/​Carona (Brembo Ski),Italy
25.9,Roc d'Enfer – St. Jean d'Aulps-La Grande Terche/​Bellevaux-La Chèvrerie,France
62,Leukerbad,Switzerland
52,Gerlitzen,Austria
58,Kreischberg,Austria
58,Kaunertal Glacier (Kaunertaler Gletscher),Austria
89,Andermatt/​Oberalp/​Sedrun,Switzerland
204,Steamboat,USA
20,Shymbulak (Chimbulak),Kazakhstan
39,San Domenico – Alpe Ciamporino,Italy
31,Jahorina,Bosnia and Herzegovina
22.5,Crévoux,France
53,Steinplatte/​Winklmoosalm – Waidring/​Reit im Winkl,Austria
47,Hochzeiger – Jerzens,Austria
63,El Colorado/​Farellones,Chile
46,Oppdal,Norway
61,Rinerhorn (Davos Klosters),Switzerland
63,Grächen,Switzerland
31,Hakuba Iwatake Mountain Resort,Japan
19,Céüze 2000 – Gap (temporarily closed),France
42,Krasnaya Polyana Resort,Southern Russia
55,Niseko United – Annupuri/​Grand Hirafu/​Hanazono/​Niseko Village,Japan
56,Klausberg – Skiworld Ahrntal,Italy
21,Sainte-Anne la Condamine – La Condamine-Châtelard,France
79,Eggli/​La Videmanette – Gstaad/​Saanen/​Rougemont,Switzerland
47,Goldeck – Spittal an der Drau,Austria
62,Anzère,Switzerland
74,Alpe di Siusi (Seiser Alm),Italy
44,Panticosa,Spain
63,Brigels/​Waltensburg/​Andiast,Switzerland
12,Cerro Perito Moreno – El Bolsón (Laderas),Argentina
275,Vail,USA
39,Boí Taüll,Spain
31,Tsaghkadzor,Armenia
53,Elm im Sernftal,Switzerland
60,Trysil,Norway
57,Carezza,Italy
39,Yuzawa Kogen/​Gala Yuzawa/​​Ishiuchi Maruyama,Japan
59,Jasná Nízke Tatry – Chopok,Slovakia
15,Tetnuldi – Mestia,Georgia
117.93,Revelstoke Mountain Resort,Canada
50,Rauriser Hochalmbahnen – Rauris,Austria
13,Vasilitsa,Greece
25.3,Chabanon,France
19,Roubion les Buisses,France
22.1,Saint-Léger-les-Mélèzes,France
49,Sonnenkopf – Klösterle,Austria
57,Dachstein West – Gosau/​Russbach/​Annaberg,Austria
68,Zauchensee/​Flachauwinkl,Austria
56,Paganella – Andalo,Italy
52,Nax – Mont-Noble,Switzerland
55,Melchsee-Frutt (Kerns),Switzerland
50.5,Golm,Austria
42,Brauneck – Lenggries/​Wegscheid,Germany
20,Sampeyre,Italy
20,Mavrovo – Zare Lazareski,North Macedonia
55,Latemar – Obereggen/​Pampeago/​Predazzo,Italy
48,Candanchú,Spain
58.5,Grands Montets – Argentière (Chamonix),France
53,St. Johann in Tirol/​Oberndorf – Harschbichl,Austria
24,Sangiacomo/​Cardini – Monte Alpet,Italy
41,Mitsumata/​Kagura/​Tashiro (Mt. Naeba),Japan
95,Schweitzer Mountain Resort,USA
30,Mount Parnassos – Fterolakka/​Kellaria,Greece
55,Grüsch Danusa,Switzerland
42,Glungezer – Tulfes,Austria
17.5,Col de Rousset,France
203,Aspen Highlands,USA
33.5,Pralognan la Vanoise,France
89,Whitefish Mountain Resort,USA
200,Jackson Hole,USA
36,Le Mont-Dore,France
154,Taos,USA
28,Albiez-Montrond,France
31,Hachikogen/​Hachi Kita Kogen,Japan
24.5,Réallon,France
38,Moléson,Switzerland
91,Marmot Basin – Jasper,Canada
47,Kvitfjell,Norway
97,Wenatchee – Mission Ridge,USA
16.53,Tochal,Iran
25,Dizin,Iran
46.8,Bergeralm – Steinach am Brenner,Austria
30.3,Ceillac en Queyras,France
84,Bridger Bowl – Bozeman,USA
57,Hoch-Ybrig – Unteriberg/​Oberiberg,Switzerland
90,Smugglers' Notch,USA
75,Glacier 3000 – Les Diablerets,Switzerland
22,Shahdag (Şahdağ),Azerbaijan
85,Loveland,USA
33,Colere,Italy
23,Lurisia – Monte Pigna,Italy
25.5,Bernex,France
40,Vogel – Bohinj,Slovenia
48,Hochoetz – Oetz,Austria
48,Loser – Altaussee,Austria
275,Beaver Creek,USA
48,Pejo 3000,Italy
43.5,Font-Romeu/​Bolquère Pyrénées 2000,France
59,Betelberg – Lenk,Switzerland
56,Vercorin,Switzerland
36,SuperBesse – Puy de Sancy,France
168,Killington,USA
58,Hafjell,Norway
44,Abetone/​Val di Luce,Italy
47,Voss Resort,Norway
28.5,Métabief,France
158,Crested Butte,USA
46.5,Galtür – Silvapark,Austria
41,Furano,Japan
50,Chapelco,Argentina
23,Vitosha/​Aleko – Sofia,Bulgaria
28,Les Brasses,France
49.5,Venet – Landeck/​Zams/​Fliess,Austria
269,Palisades Tahoe,USA
18,Babin Do – Bjelašnica,Bosnia and Herzegovina
54.5,Turracher Höhe,Austria
23,Straja,Romania
43,Darlux – Bergün,Switzerland
38,Montecampione – Alpiaz/​Prato Secondino/​Plan di Montecampione,Italy
21,Autrans – La Sure,France
36,Port del Comte,Spain
9,Goderdzi Resort,Georgia
57.5,Fellhorn/​Kanzelwand – Oberstdorf/​Riezlern,Germany
45,Les Marécottes (Salvan),Switzerland
132.76,Big White,Canada
135,Powder Mountain,USA
37,Tsugaike Kogen,Japan
168,Mt. Bachelor,USA
35,Sinaia,Romania
60,Hemsedal,Norway
75,Mt. Baker,USA
55,Alpe Cermis – Cavalese,Italy
39.5,Tarvisio – Monte Lussari,Italy
169,Snowbird,USA
41,Le Lys – Cauterets,France
28,Piana di Vigezzo – Craveggia/​Santa Maria Maggiore,Italy
125,Sugarloaf,USA
39.5,Zoncolan – Ravascletto/​Sutrio,Italy
35.5,Luchon-Superbagnères,France
37,Hakuba 47/​Goryu,Japan
36,Piani di Bobbio,Italy
255,Breckenridge,USA
40,Cima Piazzi/​San Colombano – Isolaccia/​Oga,Italy
46,Schlick 2000 – Fulpmes,Austria
50.5,Meran 2000,Italy
44,Weissee Gletscherwelt – Uttendorf,Austria
42,Gaissau-Hintersee (temporarily closed),Austria
34,Port Ainé,Spain
73,Jakobshorn (Davos Klosters),Switzerland
34,Maiko Snow Resort,Japan
85,Wolf Creek,USA
66,Madrisa (Davos Klosters),Switzerland
60,Bellwald,Switzerland
34,Espot Esqui,Spain
61,La Parva,Chile
71,Apex Mountain Resort,Canada
34,Nordkette – Innsbruck,Austria
30,Cambre d'Aze – Eyne/​Saint-Pierre-dels-Forcats,France
36,Balderschwang – Hochschelpen/​Riedberger Horn,Germany
48,Kühtai,Austria
48,Riesneralm – Donnersbachwald,Austria
44,Rusutsu,Japan
84,Red Lodge Mountain,USA
48,Werfenweng,Austria
94,Tremblant,Canada
26,Kamui Ski Links,Japan
55,Ovronnaz,Switzerland
178,Heavenly,USA
38,Espace Super Saint-Bernard – Bourg-St-Pierre (temporarily closed),Switzerland
24,La Robella – Buttes (Val-de-Travers),Switzerland
82,Mont-Sainte-Anne,Canada
40,Rifflsee,Austria
31,Crévacol,Italy
54,Klewenalp/​Stockhütte – Beckenried/​Emmetten,Switzerland
45,Astún,Spain
29,Shizukuishi,Japan
27,Gran Sasso – Campo Imperatore,Italy
29,Joetsu Kokusai,Japan
45,Hochkössen (Unterberghorn) – Kössen,Austria
61,Tschiertschen,Switzerland
248,Winter Park Resort,USA
42,Charmey,Switzerland
4,Yurduntepe,Turkey
49,Mythenregion,Switzerland
44,Innerkrems – Kremsbrücke (Krems in Kärnten) (temporarily closed),Austria
99,Purgatory – Durango,USA
61,Valle Nevado,Chile
38,Brambrüesch/​Dreibündenstein – Chur,Switzerland
49,Stuhleck – Spital am Semmering,Austria
89,Gemsstock – Andermatt,Switzerland
59,Elsigen-Metsch – Frutigen,Switzerland
19,Le Grand Puy,France
45,Bivio,Switzerland
10,Villar d'Arène,France
36.5,Bödele – Schwarzenberg,Austria
48,Norefjell,Norway
19,Aillons-Margériaz,France
40,Kitzbüheler Horn,Austria
26.9,Ancelle,France
56,Lermoos – Grubigstein,Austria
55,Sillian – Thurntaler (Hochpustertal),Austria
148,Mt. Hood Meadows,USA
57.5,Walmendingerhorn/​Heuberg – Mittelberg/​Hirschegg,Austria
49,Axamer Lizum,Austria
37,Madarao/​Tangram,Japan
52,Bürchen/​Törbel – Moosalp,Switzerland
28,Puigmal,France
203,Aspen Mountain,USA
21,Méaudre,France
29,Kasprowy Wierch – Zakopane,Poland
40,Laterns – Gapfohl,Austria
19,Aillon-le-Jeune,France
55,Bosco Gurin – Grossalp,Switzerland
29.5,Gérardmer – La Mauselaine,France
41,Ordino Arcalís,Andorra
29.5,Gavarnie/​Gèdre – Les Espécières,France
29,Alpe del Nevegal,Italy
40,Kiroro,Japan
50,Ylläs,Finland
224,Keystone,USA
65,Diavolezza/​Lagalb,Switzerland
40,Reinswald (San Martino in Sarentino),Italy
96,Jay Peak,USA
198,Bald Mountain – Sun Valley,USA
218,Copper Mountain,USA
68,Discovery Ski Area,USA
32,Lizzola,Italy
64,Nevados de Chillán,Chile
8,Denizli – Tavas,Turkey
47,Cerro Castor,Argentina
40,Cairngorm Mountain,United Kingdom
